period_date,revenue,expenses,cash_balance,revenue_donations,revenue_grants,revenue_events,revenue_other,donors_total,donors_new,donors_returning,volunteers_active,volunteer_hours,program_participants,website_visitors,social_followers
2025-01-31,15200,14800,73900,7400,5000,2100,700,142,18,124,24,186,88,1240,820
2025-02-28,16850,15900,77100,8100,5000,3000,750,151,21,130,26,204,94,1385,868
2025-03-31,18400,17600,79700,8900,6000,2900,600,158,19,139,27,214,101,1502,905
2025-04-30,17900,18200,78700,8300,6000,2800,800,163,16,147,25,198,99,1461,939
2025-05-31,20600,19400,82700,9600,7000,3300,700,172,24,148,29,232,112,1688,1004
2025-06-30,22300,21000,87000,10400,7500,3600,800,181,22,159,31,248,120,1810,1062
2025-07-31,21750,22100,85800,10100,7500,3300,850,186,17,169,30,241,117,1774,1098
2025-08-31,24900,23300,91100,11600,8500,4000,800,197,26,171,34,276,131,2015,1170
2025-09-30,27400,25600,97000,12700,9000,4800,900,208,28,180,36,291,140,2190,1244
2025-10-31,26800,26900,96700,12300,9000,4600,900,214,19,195,35,283,138,2141,1291
2025-11-30,31200,28700,104900,14400,10500,5300,1000,229,33,196,39,318,152,2420,1372
2025-12-31,34600,31400,116000,16100,11500,6000,1000,241,30,211,42,342,164,2655,1465
