period_date,revenue,expenses,cash_balance,revenue_donations,revenue_grants,revenue_events,revenue_other,donors_total,donors_new,donors_returning,volunteers_active,volunteer_hours,program_participants,website_visitors,social_followers,employees_total,employees_new,employees_departed,marketing_spend,email_subscribers,email_open_rate,grant_applications_submitted,grant_applications_awarded,program_outcomes_achieved,program_outcomes_targeted,goals_total,goals_completed
2025-01-31,15200,14800,73900,7400,5000,2100,700,142,18,124,24,186,88,1240,820,24,1,3,900,1800,0.24,3,1,40,60,10,2
2025-02-28,16850,15900,77100,8100,5000,3000,750,151,21,130,26,204,94,1385,868,24,0,3,850,1880,0.25,4,2,44,62,10,3
2025-03-31,18400,17600,79700,8900,6000,2900,600,158,19,139,27,214,101,1502,905,25,1,3,1000,1950,0.24,3,1,45,65,10,3
2025-04-30,17900,18200,78700,8300,6000,2800,800,163,16,147,25,198,99,1461,939,26,1,4,950,2010,0.26,5,2,44,64,12,3
2025-05-31,20600,19400,82700,9600,7000,3300,700,172,24,148,29,232,112,1688,1004,26,0,3,1100,2140,0.27,4,2,52,70,12,4
2025-06-30,22300,21000,87000,10400,7500,3600,800,181,22,159,31,248,120,1810,1062,28,2,4,1050,2260,0.26,5,3,55,72,12,5
2025-07-31,21750,22100,85800,10100,7500,3300,850,186,17,169,30,241,117,1774,1098,29,1,4,1200,2320,0.28,4,2,53,71,12,5
2025-08-31,24900,23300,91100,11600,8500,4000,800,197,26,171,34,276,131,2015,1170,30,1,5,1300,2450,0.29,6,3,60,78,12,6
2025-09-30,27400,25600,97000,12700,9000,4800,900,208,28,180,36,291,140,2190,1244,32,2,4,1250,2600,0.28,5,3,65,80,12,6
2025-10-31,26800,26900,96700,12300,9000,4600,900,214,19,195,35,283,138,2141,1291,33,1,5,1400,2700,0.30,6,4,64,82,12,7
2025-11-30,31200,28700,104900,14400,10500,5300,1000,229,33,196,39,318,152,2420,1372,35,2,5,1500,2860,0.31,5,3,70,85,12,8
2025-12-31,34600,31400,116000,16100,11500,6000,1000,241,30,211,42,342,164,2655,1465,37,2,6,1600,3020,0.32,7,4,76,90,12,9
